,outcome,age_range,self_defined_ethnicity,gender,datetime,outcome_object_id,outcome_object_name,latitude,longitude,type,officer_defined_ethnicity,object_of_search
1620,A no further action disposal,,,Male,2019-08-27T01:40:41+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1621,A no further action disposal,,,Male,2019-08-27T01:41:32+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1622,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-08-27T01:42:04+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,White,Offensive weapons
1623,A no further action disposal,,,Male,2019-08-27T01:42:57+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1624,A no further action disposal,,,Male,2019-08-27T01:43:40+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1625,A no further action disposal,,,Male,2019-08-27T01:44:59+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1626,A no further action disposal,,,Male,2019-08-27T01:45:45+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1627,A no further action disposal,,,Male,2019-08-27T01:46:39+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1628,A no further action disposal,,,Male,2019-08-27T01:48:04+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1630,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2019-08-27T01:52:12+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,White,Offensive weapons
1631,A no further action disposal,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2019-08-27T01:59:56+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,Other,Offensive weapons
1632,A no further action disposal,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,2019-08-27T02:05:32+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,Black,Offensive weapons
1633,A no further action disposal,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,2019-08-27T02:08:35+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,Black,Offensive weapons
1634,A no further action disposal,,,Male,2019-08-27T02:10:24+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1635,Arrest,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-08-27T03:26:22+00:00,bu-arrest,Arrest,51.520408,-0.085231,Person and Vehicle search,White,Controlled drugs
1636,Community resolution,25-34,Asian/Asian British - Any other Asian background,Male,2019-08-27T09:14:49+00:00,bu-community-resolution,Community resolution,51.525845000000004,-0.207409,Person search,Asian,Offensive weapons
1640,A no further action disposal,,,Male,2019-08-27T03:14:23+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1641,A no further action disposal,,,Male,2019-08-27T03:17:20+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1642,A no further action disposal,,,Male,2019-08-27T03:18:55+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1643,A no further action disposal,,,Male,2019-08-27T03:20:22+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1644,A no further action disposal,,,Male,2019-08-27T03:50:03+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1645,A no further action disposal,,,Male,2019-08-27T04:00:26+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1648,Arrest,25-34,Other ethnic group - Not stated,Male,2019-08-28T10:55:38+00:00,bu-arrest,Arrest,51.514457,-0.073849,Person search,Asian,Stolen goods
1650,A no further action disposal,25-34,Other ethnic group - Any other ethnic group,Male,2019-08-28T06:15:10+00:00,bu-no-further-action,A no further action disposal,51.513928,-0.108231,Person search,Other,Article for use in theft
1651,A no further action disposal,25-34,Other ethnic group - Any other ethnic group,Male,2019-08-28T06:22:27+00:00,bu-no-further-action,A no further action disposal,51.513928,-0.108231,Person search,Other,Article for use in theft
1652,A no further action disposal,over 34,Asian/Asian British - Bangladeshi,Male,2019-08-29T03:07:45+00:00,bu-no-further-action,A no further action disposal,51.514158,-0.10017899999999999,Person search,Asian,Evidence of offences under the Act
1653,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2019-08-29T03:22:26+00:00,bu-no-further-action,A no further action disposal,51.514158,-0.10017899999999999,Person search,Asian,Evidence of offences under the Act
1654,A no further action disposal,25-34,Asian/Asian British - Chinese,Male,2019-08-29T10:03:36+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,Asian,Offensive weapons
1655,A no further action disposal,10-17,Other ethnic group - Not stated,Male,2019-08-29T10:23:45+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,Black,Offensive weapons
1656,A no further action disposal,,,Male,2019-08-29T00:59:51+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1659,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2019-08-29T01:29:25+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,Black,Offensive weapons
1662,A no further action disposal,,,Male,2019-08-29T03:46:17+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1663,A no further action disposal,,,Male,2019-08-29T04:30:56+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1665,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2019-08-29T04:46:56+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,Black,Offensive weapons
1666,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-08-29T05:00:06+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,White,Offensive weapons
1667,A no further action disposal,,,Male,2019-08-29T05:12:13+00:00,bu-no-further-action,A no further action disposal,51.527286,-0.215815,Person search,,Offensive weapons
1668,Khat or Cannabis warning,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-08-29T05:20:29+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.514276,-0.087549,Person and Vehicle search,White,Controlled drugs
1669,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-08-29T05:33:40+00:00,bu-no-further-action,A no further action disposal,51.514276,-0.087549,Person and Vehicle search,White,Controlled drugs
1670,Khat or Cannabis warning,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-08-29T05:47:01+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.514276,-0.087549,Person and Vehicle search,White,Controlled drugs
1676,A no further action disposal,,,Male,2019-08-29T09:22:30+00:00,bu-no-further-action,A no further action disposal,51.5169,-0.084095,Person search,,Stolen goods
1677,A no further action disposal,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-08-29T09:22:30+00:00,bu-no-further-action,A no further action disposal,51.5169,-0.084095,Person search,White,Stolen goods
1678,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2019-08-29T09:39:15+00:00,bu-no-further-action,A no further action disposal,51.5112,-0.085257,Person search,Black,Article for use in theft
1679,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,2019-08-30T11:01:22+00:00,bu-no-further-action,A no further action disposal,51.5112,-0.085257,Person search,White,Stolen goods
1680,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Male,2019-08-30T00:13:59+00:00,bu-no-further-action,A no further action disposal,51.518679999999996,-0.085173,Person search,Black,Evidence of offences under the Act
1681,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Male,2019-08-30T02:04:18+00:00,bu-no-further-action,A no further action disposal,51.518679999999996,-0.085173,Person and Vehicle search,Black,Evidence of offences under the Act
1683,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Male,2019-08-30T03:12:50+00:00,bu-no-further-action,A no further action disposal,51.518189,-0.082628,Person search,Black,Controlled drugs
1684,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,2019-08-30T03:18:41+00:00,bu-no-further-action,A no further action disposal,51.515033,-0.07825,Person search,White,Evidence of offences under the Act
1688,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-08-30T04:30:11+00:00,bu-no-further-action,A no further action disposal,51.516014,-0.081091,Person search,White,Offensive weapons
1689,A no further action disposal,10-17,Other ethnic group - Not stated,Male,2019-08-30T04:47:44+00:00,bu-no-further-action,A no further action disposal,51.516014,-0.081091,Person search,White,Offensive weapons
1691,A no further action disposal,over 34,White - Any other White background,Male,2019-08-30T10:50:52+00:00,bu-no-further-action,A no further action disposal,51.520699,-0.097601,Person search,White,Stolen goods
1693,A no further action disposal,over 34,Asian/Asian British - Bangladeshi,Male,2019-08-30T00:10:04+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person search,Asian,Controlled drugs
1694,A no further action disposal,over 34,Asian/Asian British - Bangladeshi,Male,2019-08-30T00:25:37+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person search,Asian,Controlled drugs
1695,A no further action disposal,over 34,White - Any other White background,Male,2019-08-30T05:59:33+00:00,bu-no-further-action,A no further action disposal,51.517431,-0.082458,Person search,White,Article for use in theft
1696,Arrest,25-34,Black/African/Caribbean/Black British - African,Male,2019-08-30T06:21:55+00:00,bu-arrest,Arrest,51.5151,-0.08566900000000001,Person and Vehicle search,Asian,Controlled drugs
1701,Khat or Cannabis warning,25-34,Other ethnic group - Not stated,Female,2019-08-30T09:02:18+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.514088,-0.077655,Person search,White,Controlled drugs
1702,Khat or Cannabis warning,over 34,White - Any other White background,Female,2019-08-30T09:08:00+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.514088,-0.077655,Person search,White,Controlled drugs
1704,A no further action disposal,18-24,Black/African/Caribbean/Black British - African,Male,2019-08-31T11:33:50+00:00,bu-no-further-action,A no further action disposal,51.518433,-0.078856,Person search,Black,Controlled drugs
1705,A no further action disposal,25-34,White - Any other White background,Male,2019-08-31T00:05:02+00:00,bu-no-further-action,A no further action disposal,51.511021,-0.079283,Person search,White,Offensive weapons
1708,Arrest,,Other ethnic group - Not stated,Male,2019-08-31T03:52:13+00:00,bu-arrest,Arrest,51.520509999999994,-0.08158,Person and Vehicle search,White,Controlled drugs
1709,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2019-08-31T04:05:32+00:00,bu-no-further-action,A no further action disposal,51.517431,-0.082458,Person search,White,Controlled drugs
1711,Khat or Cannabis warning,25-34,White - Any other White background,Male,2019-09-01T06:26:04+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.516814000000004,-0.08162,Person search,Asian,Controlled drugs
1713,Arrest,10-17,Black/African/Caribbean/Black British - Caribbean,Male,2019-09-02T00:56:12+00:00,bu-arrest,Arrest,51.51265,-0.101452,Person search,Black,Stolen goods
1714,A no further action disposal,18-24,Black/African/Caribbean/Black British - African,Male,2019-09-02T01:57:34+00:00,bu-no-further-action,A no further action disposal,51.512651,-0.08655,Person and Vehicle search,Black,Stolen goods
1715,A no further action disposal,18-24,Black/African/Caribbean/Black British - African,Male,2019-09-02T02:26:13+00:00,bu-no-further-action,A no further action disposal,51.512651,-0.08655,Person and Vehicle search,Black,Stolen goods
1716,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2019-09-02T02:56:30+00:00,bu-no-further-action,A no further action disposal,51.520984999999996,-0.078749,Person search,Black,Offensive weapons
1717,A no further action disposal,25-34,White - Any other White background,Male,2019-09-02T05:36:37+00:00,bu-no-further-action,A no further action disposal,51.517431,-0.082458,Person and Vehicle search,White,Evidence of offences under the Act
1718,A no further action disposal,18-24,Other ethnic group - Not stated,Female,2019-09-02T07:02:28+00:00,bu-no-further-action,A no further action disposal,51.517431,-0.082458,Person search,White,Controlled drugs
1720,Arrest,18-24,Asian/Asian British - Bangladeshi,Male,2019-09-02T01:32:11+00:00,bu-arrest,Arrest,51.510306,-0.061501,Person and Vehicle search,Asian,Controlled drugs
1721,A no further action disposal,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-09-02T03:25:45+00:00,bu-no-further-action,A no further action disposal,51.50995,-0.078665,Person search,White,Controlled drugs
1723,A no further action disposal,25-34,White - Any other White background,Male,2019-09-02T08:19:26+00:00,bu-no-further-action,A no further action disposal,51.511445,-0.07608,Person and Vehicle search,White,Article for use in theft
1724,Arrest,25-34,White - Any other White background,Male,2019-09-02T10:34:15+00:00,bu-arrest,Arrest,51.511445,-0.07608,Person and Vehicle search,White,Article for use in theft
1725,Arrest,25-34,Other ethnic group - Not stated,Male,2019-09-03T08:11:09+00:00,bu-arrest,Arrest,51.517184,-0.07674700000000001,Person and Vehicle search,White,Controlled drugs
1727,Arrest,over 34,Other ethnic group - Not stated,Male,2019-09-03T09:12:46+00:00,bu-arrest,Arrest,51.513928,-0.108231,Person search,White,Stolen goods
1728,A no further action disposal,10-17,Other ethnic group - Not stated,Male,2019-09-04T11:43:07+00:00,bu-no-further-action,A no further action disposal,51.527347999999996,-0.091744,Person search,White,Article for use in theft
1729,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2019-09-04T01:15:29+00:00,bu-no-further-action,A no further action disposal,51.517612,-0.09303,Person search,White,Controlled drugs
1731,Khat or Cannabis warning,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-09-04T01:16:21+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.512462,-0.07609500000000001,Person search,White,Controlled drugs
1732,Arrest,18-24,Black/African/Caribbean/Black British - African,Male,2019-09-04T09:04:20+00:00,bu-arrest,Arrest,51.51494,-0.079162,Person search,Black,Stolen goods
1733,Arrest,18-24,Black/African/Caribbean/Black British - African,Male,2019-09-04T09:22:17+00:00,bu-arrest,Arrest,51.514088,-0.077655,Person search,Black,Stolen goods
1734,Arrest,18-24,Black/African/Caribbean/Black British - African,Female,2019-09-05T00:52:23+00:00,bu-arrest,Arrest,51.517576,-0.079786,Person search,Black,Controlled drugs
1736,Arrest,18-24,Other ethnic group - Not stated,Male,2019-09-06T02:50:24+00:00,bu-arrest,Arrest,51.518864,-0.097562,Person and Vehicle search,White,Evidence of offences under the Act
1739,A no further action disposal,18-24,Asian/Asian British - Bangladeshi,Male,2019-09-06T08:07:09+00:00,bu-no-further-action,A no further action disposal,51.515037,-0.10279400000000001,Person and Vehicle search,Asian,Controlled drugs
1741,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-09-07T07:42:32+00:00,bu-no-further-action,A no further action disposal,51.517032,-0.092723,Person search,White,Controlled drugs
1742,A no further action disposal,25-34,Asian/Asian British - Pakistani,Male,2019-09-07T00:43:07+00:00,bu-no-further-action,A no further action disposal,51.514501,-0.08971599999999999,Person search,Asian,Stolen goods
1747,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2019-09-08T04:22:18+00:00,bu-no-further-action,A no further action disposal,51.52029,-0.078591,Person and Vehicle search,Black,Controlled drugs
1749,A no further action disposal,over 34,Other ethnic group - Not stated,Female,2019-09-08T05:02:44+00:00,bu-no-further-action,A no further action disposal,51.510828000000004,-0.08616599999999999,Person search,White,Stolen goods
1750,Khat or Cannabis warning,18-24,White - Any other White background,Male,2019-09-08T06:15:30+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.51768,-0.078484,Person search,White,Controlled drugs
1751,A no further action disposal,18-24,White - Any other White background,Male,2019-09-08T06:22:14+00:00,bu-no-further-action,A no further action disposal,51.51768,-0.078484,Person search,White,Controlled drugs
1752,A no further action disposal,18-24,Asian/Asian British - Indian,Male,2019-09-08T06:26:47+00:00,bu-no-further-action,A no further action disposal,51.51768,-0.078484,Person search,Asian,Controlled drugs
1753,A no further action disposal,18-24,Asian/Asian British - Any other Asian background,Male,2019-09-08T06:31:47+00:00,bu-no-further-action,A no further action disposal,51.51768,-0.078484,Person search,Asian,Controlled drugs
1754,Arrest,over 34,White - Any other White background,Male,2019-09-08T07:50:31+00:00,bu-arrest,Arrest,51.517244,-0.080376,Person search,White,Article for use in theft
1755,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-09-09T11:00:21+00:00,bu-no-further-action,A no further action disposal,51.52108,-0.09173200000000001,Person search,White,Controlled drugs
1756,A no further action disposal,25-34,Other ethnic group - Any other ethnic group,Male,2019-09-09T00:15:45+00:00,bu-no-further-action,A no further action disposal,51.51905,-0.076437,Person search,Other,Stolen goods
1757,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-09-09T05:22:37+00:00,bu-no-further-action,A no further action disposal,51.515739,-0.100632,Person search,White,Stolen goods
1758,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,2019-09-09T05:25:01+00:00,bu-no-further-action,A no further action disposal,51.515739,-0.100632,Person search,White,Stolen goods
1759,Arrest,10-17,Other ethnic group - Not stated,Male,2019-09-10T01:40:34+00:00,bu-arrest,Arrest,51.513114,-0.086272,Person search,Black,Stolen goods
1760,Arrest,10-17,Black/African/Caribbean/Black British - Caribbean,Male,2019-09-10T04:30:37+00:00,bu-arrest,Arrest,51.513114,-0.086272,Person search,Black,Stolen goods
1761,A no further action disposal,18-24,Asian/Asian British - Any other Asian background,Male,2019-09-10T08:28:43+00:00,bu-no-further-action,A no further action disposal,51.536794,-0.28839000000000004,Person and Vehicle search,Asian,Controlled drugs
1762,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-09-11T00:56:23+00:00,bu-no-further-action,A no further action disposal,51.512108000000005,-0.097973,Person search,Other,Article for use in theft
1767,A no further action disposal,over 34,White - Any other White background,Male,2019-09-11T04:46:17+00:00,bu-no-further-action,A no further action disposal,51.521786999999996,-0.075544,Person and Vehicle search,White,Offensive weapons
1768,Arrest,18-24,Asian/Asian British - Any other Asian background,Male,2019-09-12T11:05:15+00:00,bu-arrest,Arrest,51.51768,-0.078484,Person search,Asian,Controlled drugs
1769,A no further action disposal,over 34,White - Any other White background,Male,2019-09-12T11:24:51+00:00,bu-no-further-action,A no further action disposal,51.514501,-0.08971599999999999,Person search,White,Stolen goods
1771,A no further action disposal,25-34,White - Any other White background,Male,2019-09-12T03:03:09+00:00,bu-no-further-action,A no further action disposal,51.513394,-0.084199,Person search,White,Article for use in theft
1772,Arrest,18-24,Other ethnic group - Not stated,Male,2019-09-12T08:01:30+00:00,bu-arrest,Arrest,51.517032,-0.089451,Person and Vehicle search,White,Stolen goods
1775,Arrest,18-24,White - Any other White background,Male,2019-09-12T09:45:41+00:00,bu-arrest,Arrest,51.517032,-0.089451,Person search,White,Stolen goods
1776,Arrest,18-24,Other ethnic group - Not stated,Male,2019-09-13T04:53:52+00:00,bu-arrest,Arrest,51.516346999999996,-0.104887,Person and Vehicle search,White,Controlled drugs
1779,Arrest,25-34,Other ethnic group - Not stated,Male,2019-09-13T09:17:27+00:00,bu-arrest,Arrest,51.511625,-0.081549,Person and Vehicle search,White,Controlled drugs
1780,Khat or Cannabis warning,25-34,Black/African/Caribbean/Black British - Caribbean,Male,2019-09-14T03:12:38+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.514457,-0.073849,Person and Vehicle search,Black,Controlled drugs
1781,Arrest,over 34,Asian/Asian British - Bangladeshi,Male,2019-09-14T04:38:40+00:00,bu-arrest,Arrest,51.515504,-0.07627,Person search,Asian,Stolen goods
1782,Arrest,over 34,Asian/Asian British - Bangladeshi,Male,2019-09-14T03:52:02+00:00,bu-arrest,Arrest,51.516508,-0.079398,Person search,Asian,Controlled drugs
1784,A no further action disposal,over 34,Black/African/Caribbean/Black British - Caribbean,Male,2019-09-14T08:30:14+00:00,bu-no-further-action,A no further action disposal,51.518679999999996,-0.085173,Person search,Black,Stolen goods
1787,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,2019-09-15T00:26:00+00:00,bu-no-further-action,A no further action disposal,51.525655,-0.090517,Person search,White,Stolen goods
1794,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2019-09-15T05:03:31+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person and Vehicle search,White,Controlled drugs
1799,Arrest,25-34,White - Any other White background,Male,2019-09-15T10:03:25+00:00,bu-arrest,Arrest,51.512678,-0.079444,Person and Vehicle search,White,Controlled drugs
1800,A no further action disposal,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,2019-09-16T03:18:09+00:00,bu-no-further-action,A no further action disposal,51.509614,-0.079011,Person search,Black,Offensive weapons
1804,A no further action disposal,18-24,Asian/Asian British - Bangladeshi,Male,2019-09-17T00:27:45+00:00,bu-no-further-action,A no further action disposal,51.523977,-0.07584099999999999,Person search,Other,Controlled drugs
1805,A no further action disposal,,,Male,2019-09-17T00:43:34+00:00,bu-no-further-action,A no further action disposal,51.523637,-0.076532,Person search,,Controlled drugs
1806,A no further action disposal,25-34,Asian/Asian British - Bangladeshi,Male,2019-09-17T02:44:36+00:00,bu-no-further-action,A no further action disposal,51.526088,-0.0653,Person search,Asian,Controlled drugs
1808,Arrest,25-34,Other ethnic group - Not stated,Male,2019-09-18T05:17:44+00:00,bu-arrest,Arrest,51.519888,-0.102506,Person and Vehicle search,Asian,Controlled drugs
1810,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2019-09-18T05:50:49+00:00,bu-no-further-action,A no further action disposal,51.515005,-0.09362899999999999,Person search,Asian,Stolen goods
1811,Khat or Cannabis warning,25-34,White - Any other White background,Male,2019-09-18T09:12:37+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.51905,-0.076437,Person and Vehicle search,White,Controlled drugs
1812,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2019-09-19T06:12:47+00:00,bu-no-further-action,A no further action disposal,51.501044,0.068459,Person search,Asian,Stolen goods
1813,Khat or Cannabis warning,25-34,Black/African/Caribbean/Black British - Caribbean,Male,2019-09-19T04:30:59+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.518679999999996,-0.085173,Person search,Black,Controlled drugs
1814,A no further action disposal,18-24,Asian/Asian British - Any other Asian background,Male,2019-09-19T05:07:15+00:00,bu-no-further-action,A no further action disposal,51.516894,-0.076067,Person search,Asian,Controlled drugs
1816,A no further action disposal,over 34,White - Any other White background,Male,2019-09-19T06:56:19+00:00,bu-no-further-action,A no further action disposal,51.517431,-0.082458,Person search,White,Stolen goods
1817,Khat or Cannabis warning,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2019-09-19T07:00:29+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.518679999999996,-0.085173,Person search,Black,Controlled drugs
1818,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2019-09-19T08:21:52+00:00,bu-no-further-action,A no further action disposal,51.521797,-0.124482,Person and Vehicle search,Black,Controlled drugs
1819,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-09-19T09:16:48+00:00,bu-no-further-action,A no further action disposal,51.518189,-0.082628,Person search,White,Controlled drugs
1820,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2019-09-19T09:25:34+00:00,bu-no-further-action,A no further action disposal,51.518679999999996,-0.085173,Person search,White,Controlled drugs
1821,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2019-09-19T09:26:05+00:00,bu-no-further-action,A no further action disposal,51.518679999999996,-0.085173,Person search,Black,Controlled drugs
1822,Arrest,25-34,White - Any other White background,Male,2019-09-20T01:12:56+00:00,bu-arrest,Arrest,51.51265,-0.101452,Person and Vehicle search,White,Controlled drugs
1823,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-09-20T01:56:06+00:00,bu-no-further-action,A no further action disposal,51.513171,-0.077694,Person search,White,Controlled drugs
1825,Khat or Cannabis warning,25-34,Asian/Asian British - Bangladeshi,Male,2019-09-20T05:12:39+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.518262,-0.088203,Person and Vehicle search,Asian,Controlled drugs
1826,A no further action disposal,25-34,Asian/Asian British - Bangladeshi,Male,2019-09-20T05:19:36+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person and Vehicle search,Asian,Controlled drugs
1827,Khat or Cannabis warning,18-24,White - Any other White background,Male,2019-09-20T07:42:02+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.51768,-0.078484,Person search,Asian,Controlled drugs
1831,A no further action disposal,18-24,White - Any other White background,Male,2019-09-20T09:05:00+00:00,bu-no-further-action,A no further action disposal,51.513171,-0.077694,Person search,White,Controlled drugs
1833,Summons / charged by post,18-24,Other ethnic group - Not stated,Male,2019-09-20T09:40:31+00:00,bu-summons,Summons / charged by post,51.516814000000004,-0.08162,Person search,White,Controlled drugs
1834,Arrest,18-24,Other ethnic group - Not stated,Male,2019-09-21T00:00:10+00:00,bu-arrest,Arrest,51.517431,-0.082458,Person search,Asian,Stolen goods
1835,Arrest,18-24,Other ethnic group - Any other ethnic group,Male,2019-09-21T00:29:14+00:00,bu-arrest,Arrest,51.517431,-0.082458,Person search,White,Stolen goods
1836,Arrest,18-24,White - Any other White background,Male,2019-09-21T01:08:18+00:00,bu-arrest,Arrest,51.517431,-0.082458,Person search,White,Article for use in theft
1837,A no further action disposal,18-24,White - Any other White background,Male,2019-09-21T05:17:25+00:00,bu-no-further-action,A no further action disposal,51.517148999999996,-0.08776,Person search,White,Controlled drugs
1838,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2019-09-21T05:21:32+00:00,bu-no-further-action,A no further action disposal,51.517148999999996,-0.08776,Person search,Black,Controlled drugs
1840,A no further action disposal,18-24,Asian/Asian British - Bangladeshi,Male,2019-09-21T05:23:19+00:00,bu-no-further-action,A no further action disposal,51.516351,-0.082965,Person search,Asian,Controlled drugs
1841,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2019-09-21T05:31:46+00:00,bu-no-further-action,A no further action disposal,51.516351,-0.082965,Person and Vehicle search,Asian,Controlled drugs
1842,A no further action disposal,25-34,Asian/Asian British - Bangladeshi,Male,2019-09-21T06:15:57+00:00,bu-no-further-action,A no further action disposal,51.516351,-0.082965,Person search,Asian,Controlled drugs
1843,Arrest,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2019-09-22T09:37:27+00:00,bu-arrest,Arrest,51.513061,-0.076459,Person search,White,Controlled drugs
1845,A no further action disposal,25-34,Asian/Asian British - Pakistani,Male,2019-09-22T06:47:44+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person and Vehicle search,Asian,Controlled drugs
1846,A no further action disposal,25-34,White - Any other White background,Male,2019-09-22T08:01:05+00:00,bu-no-further-action,A no further action disposal,51.520984999999996,-0.078749,Person search,White,Article for use in theft
1847,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2019-09-22T08:04:09+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person and Vehicle search,Black,Controlled drugs
1848,A no further action disposal,25-34,Other ethnic group - Any other ethnic group,Female,2019-09-23T03:47:54+00:00,bu-no-further-action,A no further action disposal,51.513884999999995,-0.10274100000000001,Person search,White,Stolen goods
1849,A no further action disposal,10-17,White - Any other White background,Female,2019-09-23T04:02:48+00:00,bu-no-further-action,A no further action disposal,51.513884999999995,-0.10274100000000001,Person search,White,Stolen goods
