,outcome,age_range,self_defined_ethnicity,gender,datetime,outcome_object_id,outcome_object_name,latitude,longitude,type,officer_defined_ethnicity,object_of_search
4078,A no further action disposal,18-24,Other ethnic group - Any other ethnic group,Male,2020-06-26T08:35:03+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person and Vehicle search,Other,Article for use in theft
4079,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-06-27T00:46:45+00:00,bu-no-further-action,A no further action disposal,51.510054,-0.082811,Person search,White,Controlled drugs
4080,A no further action disposal,25-34,White - Any other White background,Male,2020-06-27T04:03:32+00:00,bu-no-further-action,A no further action disposal,51.513647,-0.07433,Person search,White,Controlled drugs
4081,A no further action disposal,25-34,White - Any other White background,Male,2020-06-27T04:04:16+00:00,bu-no-further-action,A no further action disposal,51.513647,-0.07433,Person search,White,Controlled drugs
4082,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-06-27T04:17:23+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,White,Article for use in theft
4083,Arrest,18-24,White - Any other White background,Female,2020-06-27T11:02:15+00:00,bu-arrest,Arrest,51.517576,-0.079786,Person search,White,Article for use in theft
4084,Arrest,18-24,Other ethnic group - Not stated,Female,2020-06-27T11:02:44+00:00,bu-arrest,Arrest,51.517576,-0.079786,Person search,White,Article for use in theft
4085,A no further action disposal,,,Female,2020-06-27T00:34:40+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,,Controlled drugs
4086,A no further action disposal,10-17,Other ethnic group - Not stated,Male,2020-06-27T05:02:13+00:00,bu-no-further-action,A no further action disposal,51.51265,-0.101452,Person search,White,Evidence of offences under the Act
4087,A no further action disposal,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-06-27T05:07:39+00:00,bu-no-further-action,A no further action disposal,51.51265,-0.101452,Person and Vehicle search,White,Evidence of offences under the Act
4088,A no further action disposal,over 34,White - Any other White background,Male,2020-06-28T00:40:30+00:00,bu-no-further-action,A no further action disposal,51.516351,-0.082965,Person search,White,Controlled drugs
4090,A no further action disposal,10-17,Asian/Asian British - Bangladeshi,Male,2020-07-31T01:09:38+00:00,bu-no-further-action,A no further action disposal,51.514203,-0.094628,Person search,Asian,Controlled drugs
4091,Khat or Cannabis warning,18-24,Other ethnic group - Not stated,Male,2020-07-16T03:11:17+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.518462,-0.093845,Person search,White,Controlled drugs
4092,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-07-16T03:15:54+00:00,bu-no-further-action,A no further action disposal,51.518462,-0.093845,Person search,White,Controlled drugs
